dt,AverageTemperature,City,Latitude,Longitude
1884-01-01,26.224,Abidjan,5.63N,3.23W
1884-02-01,27.801,Abidjan,5.63N,3.23W
1884-03-01,28.158,Abidjan,5.63N,3.23W
1884-04-01,27.339,Abidjan,5.63N,3.23W
1884-05-01,26.373,Abidjan,5.63N,3.23W
1884-06-01,25.924,Abidjan,5.63N,3.23W
1884-07-01,24.826,Abidjan,5.63N,3.23W
1884-08-01,24.288,Abidjan,5.63N,3.23W
1884-09-01,,Abidjan,5.63N,3.23W
1884-10-01,,Abidjan,5.63N,3.23W
1884-11-01,,Abidjan,5.63N,3.23W
1884-12-01,,Abidjan,5.63N,3.23W
1885-01-01,,Abidjan,5.63N,3.23W
1885-02-01,,Abidjan,5.63N,3.23W
1885-03-01,,Abidjan,5.63N,3.23W
1885-04-01,,Abidjan,5.63N,3.23W
1885-05-01,,Abidjan,5.63N,3.23W
1885-06-01,,Abidjan,5.63N,3.23W
1885-07-01,,Abidjan,5.63N,3.23W
1885-08-01,,Abidjan,5.63N,3.23W
1885-09-01,,Abidjan,5.63N,3.23W
1885-10-01,,Abidjan,5.63N,3.23W
1885-11-01,25.78,Abidjan,5.63N,3.23W
1885-12-01,26.357,Abidjan,5.63N,3.23W
1886-01-01,26.07,Abidjan,5.63N,3.23W
1886-02-01,26.912,Abidjan,5.63N,3.23W
1886-03-01,28.423,Abidjan,5.63N,3.23W
1886-04-01,26.167,Abidjan,5.63N,3.23W
1886-05-01,25.781,Abidjan,5.63N,3.23W
1886-06-01,25.751,Abidjan,5.63N,3.23W
1886-07-01,24.209,Abidjan,5.63N,3.23W
1886-08-01,23.849,Abidjan,5.63N,3.23W
1886-09-01,23.935,Abidjan,5.63N,3.23W
1886-10-01,24.687,Abidjan,5.63N,3.23W
1886-11-01,25.403,Abidjan,5.63N,3.23W
1886-12-01,24.503,Abidjan,5.63N,3.23W
1887-01-01,25.302,Abidjan,5.63N,3.23W
1887-02-01,26.149,Abidjan,5.63N,3.23W
1887-03-01,26.471,Abidjan,5.63N,3.23W
1887-04-01,26.086,Abidjan,5.63N,3.23W
1887-05-01,25.296,Abidjan,5.63N,3.23W
1887-06-01,23.929,Abidjan,5.63N,3.23W
1887-07-01,23.235,Abidjan,5.63N,3.23W
1887-08-01,22.528,Abidjan,5.63N,3.23W
1887-09-01,24.302,Abidjan,5.63N,3.23W
1887-10-01,24.828,Abidjan,5.63N,3.23W
1887-11-01,25.286,Abidjan,5.63N,3.23W
1887-12-01,25.529,Abidjan,5.63N,3.23W
1888-01-01,25.134,Abidjan,5.63N,3.23W
1888-02-01,26.14,Abidjan,5.63N,3.23W
1888-03-01,26.983,Abidjan,5.63N,3.23W
1888-04-01,26.605,Abidjan,5.63N,3.23W
1888-05-01,25.537,Abidjan,5.63N,3.23W
1888-06-01,24.592,Abidjan,5.63N,3.23W
1888-07-01,22.682,Abidjan,5.63N,3.23W
1888-08-01,22.486,Abidjan,5.63N,3.23W
1888-09-01,23.577,Abidjan,5.63N,3.23W
1888-10-01,24.41,Abidjan,5.63N,3.23W
1888-11-01,25.711,Abidjan,5.63N,3.23W
1888-12-01,25.497,Abidjan,5.63N,3.23W
1889-01-01,24.959,Abidjan,5.63N,3.23W
1889-02-01,26.799,Abidjan,5.63N,3.23W
1889-03-01,27.75,Abidjan,5.63N,3.23W
1889-04-01,27.395,Abidjan,5.63N,3.23W
1889-05-01,25.527,Abidjan,5.63N,3.23W
1889-06-01,24.518,Abidjan,5.63N,3.23W
1889-07-01,23.51,Abidjan,5.63N,3.23W
1889-08-01,22.819,Abidjan,5.63N,3.23W
1889-09-01,22.915,Abidjan,5.63N,3.23W
1889-10-01,24.195,Abidjan,5.63N,3.23W
1889-11-01,25.635,Abidjan,5.63N,3.23W
1889-12-01,25.439,Abidjan,5.63N,3.23W
1890-01-01,25.965,Abidjan,5.63N,3.23W
1890-02-01,26.912,Abidjan,5.63N,3.23W
1890-03-01,26.442,Abidjan,5.63N,3.23W
1890-04-01,25.694,Abidjan,5.63N,3.23W
1890-05-01,25.011,Abidjan,5.63N,3.23W
1890-06-01,23.592,Abidjan,5.63N,3.23W
1890-07-01,23.748,Abidjan,5.63N,3.23W
1890-08-01,22.363,Abidjan,5.63N,3.23W
1890-09-01,23.548,Abidjan,5.63N,3.23W
1890-10-01,24.762,Abidjan,5.63N,3.23W
1890-11-01,24.997,Abidjan,5.63N,3.23W
1890-12-01,25.256,Abidjan,5.63N,3.23W
1891-01-01,25.886,Abidjan,5.63N,3.23W
1891-02-01,26.65,Abidjan,5.63N,3.23W
1891-03-01,27.067,Abidjan,5.63N,3.23W
1891-04-01,26.379,Abidjan,5.63N,3.23W
1891-05-01,25.591,Abidjan,5.63N,3.23W
1891-06-01,24.434,Abidjan,5.63N,3.23W
1891-07-01,22.63,Abidjan,5.63N,3.23W
1891-08-01,22.377,Abidjan,5.63N,3.23W
1891-09-01,23.607,Abidjan,5.63N,3.23W
1891-10-01,24.791,Abidjan,5.63N,3.23W
1891-11-01,25.742,Abidjan,5.63N,3.23W
1891-12-01,26.155,Abidjan,5.63N,3.23W
1892-01-01,26.481,Abidjan,5.63N,3.23W
1892-02-01,27.043,Abidjan,5.63N,3.23W
1892-03-01,27.124,Abidjan,5.63N,3.23W
1892-04-01,26.191,Abidjan,5.63N,3.23W
1892-05-01,24.826,Abidjan,5.63N,3.23W
1892-06-01,24.297,Abidjan,5.63N,3.23W
1892-07-01,23.203,Abidjan,5.63N,3.23W
1892-08-01,22.488,Abidjan,5.63N,3.23W
1892-09-01,23.833,Abidjan,5.63N,3.23W
1892-10-01,24.544,Abidjan,5.63N,3.23W
1892-11-01,25.802,Abidjan,5.63N,3.23W
1892-12-01,26.175,Abidjan,5.63N,3.23W
1893-01-01,25.592,Abidjan,5.63N,3.23W
1893-02-01,26.671,Abidjan,5.63N,3.23W
1893-03-01,26.593,Abidjan,5.63N,3.23W
1893-04-01,25.506,Abidjan,5.63N,3.23W
1893-05-01,25.79,Abidjan,5.63N,3.23W
1893-06-01,24.717,Abidjan,5.63N,3.23W
1893-07-01,24.099,Abidjan,5.63N,3.23W
1893-08-01,23.639,Abidjan,5.63N,3.23W
1893-09-01,24.161,Abidjan,5.63N,3.23W
